"","symbol","logFC"
"552","C10orf71",-6.34695800350024
"553","UMODL1",-3.49357081845433
"554","OLIG3",3.3582718044908
"555","ST8SIA3",3.73652762804662
"556","KCNJ10",-5.9161182652619
"557","CAPZA3",-3.05779840173623
"558","GPR150",3.17365998548027
"559","ADAMTSL1",-3.67359068735464
"560","CALML3",-4.20860969722523
"561","LINC00314",-3.92574297403656
"562","CA8",-4.48991469347463
"563","ERBB4",-3.87107602922461
"564","LMO7DN",3.2636873207815
"565","CPNE7",4.83617397526389
"566","AURKB",3.24065152269398
"567","CDH4",3.05215417957291
"568","C2orf71",-5.87099969651523
"569","GPC5",-5.91357203313989
"570","LBX2",3.0857393599582
"571","ALOX15B",5.6569186581945
"572","TPPP2",-4.03432184499387
"573","PIPOX",-3.61410099192459
"574","ITLN1",-4.55959831980489
"575","SLC9A4",-5.67958691426522
"576","PNPLA1",-3.28814783979652
"577","CYP8B1",-3.47139073445273
"578","SSTR2",-3.05748057967036
"579","AGTR2",-4.67283557974913
"580","LINC01559",3.12521375938527
"581","GREM2",-3.37556333757185
"582","ADIPOQ",-4.46131872168819
"583","DDN",-7.03921351792411
"584","SAGE1",3.84810969355026
"585","MGAT4C",-3.0386490825051
"586","ZNF804B",-4.08096775645711
"587","HS3ST4",4.6147111852102
"588","RGS6",-4.05216826746244
"589","BX322650.1",3.14343837185447
"590","WT1-AS",-3.21780116943086
"591","CCBE1",-3.11246134559212
"592","OVCH2",-3.48007513946904
"593","OPCML",-3.76168564037884
"594","NPBWR1",4.0508606823127
"595","C1orf64",-4.87534519705381
"596","LRRC55",-4.01275774266929
"597","DUSP5P1",3.99743610010681
"598","KCNH8",3.44763691107321
"599","ST6GALNAC3",-3.86404254370263
"600","TMPRSS2",-3.40917503187145
"601","TREML3P",4.01238346624601
"602","PCDH9",-4.08699247814068
"603","FAM167A-AS1",-4.23877868500072
"604","RALYL",-6.43397830637156
"605","TUSC5",-4.49348609092768
"606","CLCNKB",-4.73767613974387
"607","WT1",-3.55275280604498
"608","MUC6",-4.6832122772899
"609","SGCZ",-4.14464050941437
"610","MFSD6L",-3.47365409801527
"611","PRSS57",3.05880666496629
"612","NUPR2",-3.4637753282289
"613","SCN10A",4.51453500733369
"614","HS6ST3",-4.16582843882319
"615","AHNAK2",4.17097809212033
"616","DBX2",-3.59121532897655
"617","SYN3",-3.15518960239807
"618","PRAME",3.6055951141275
"619","NAT8L",-3.8724712044189
"620","CD300LF",3.02955231520642
"621","CYP4F2",-5.76691402772308
"622","KIF18B",3.12881775442633
"623","FFAR4",3.21696012911555
"624","SLC36A2",-6.20965825912238
"625","SPATA12",3.38013107852479
"626","DEFB132",-3.68014057355894
"627","CLCNKA",-5.85284320830172
"628","PDE2A",-3.11934133847958
"629","FOXI2",-3.94490209116891
"630","LILRB4",3.17287564212258
"631","TRABD2A",3.06398184070275
"632","TMPRSS6",3.21756764160954
"633","CYP4A11",-4.90707913455409
"634","LCE2D",-4.11086080776701
"635","PLEKHN1",3.11989203971914
"636","TCL6",-4.55598838263866
"637","DNAJB13",3.14761598258209
"638","TMEM72",-4.17688976892376
"639","HELT",-6.45683145424891
"640","FYB2",-3.13500703795378
"641","CTSL3P",3.70800663744118
"642","RAB42",3.45543104802652
"643","MESP2",3.03034584618516
"644","HEPACAM2",-7.2196293221284
"645","PP7080",-3.2691072624293
"646","C10orf99",4.13071828211247
"647","SERPINA5",-3.66112040033093
"648","PAQR9",4.89237056198029
"649","HMX3",-4.43951999307878
"650","OR7E90P",-3.06260134431587
"651","HMX2",-8.1577202062466
"652","DPY19L2P1",3.82481815855864
"653","NUGGC",-3.9607364497472
"654","FAM180A",-3.02411237739942
"655","KIAA0408",3.55330282830363
"656","SH2D5",3.39717899523421
"657","GJB4",3.6824849510343
"658","ESRRG",-3.00548617699755
"659","TPK1",3.1197794849244
"660","MME",-3.56188113239585
"661","PFN3",-3.41912656090702
"662","ADH1B",-3.60855839309525
"663","AC079612.1",-3.00385694413801
"664","POU3F4",-5.01741981813876
"665","NPSR1-AS1",-5.45070975371143
"666","AC068631.1",-5.49756301017146
"667","AC060834.1",-4.65304441785304
"668","CYP2B6",-6.35550777798565
"669","KLKP1",3.04378799538252
"670","LHFPL5",4.20432098672737
"671","DLGAP2",-3.86335471316356
"672","AKR1B10",6.20510397463584
"673","ADH4",-3.25806029522932
"674","AC021146.1",3.22256445295402
"675","TMEM207",-8.8403659036076
"676","SLC34A3",-5.80222568436212
"677","ARC",-3.65049919434197
"678","LPA",-4.04829944665864
"679","ABCA4",-4.78008157646015
"680","APCDD1L",-3.65255235243891
"681","FAM169A",-3.15595635191814
"682","MUC2",4.32853998411064
"683","RNA5SP174",3.38758686496473
"684","AL390760.1",-3.96557757499732
"685","AC004988.1",4.29419624527173
"686","AL450313.1",-4.79258921353126
"687","PNLIPRP3",3.79025913148786
